date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:35:06	1045/1045	---M--	200	added ('OK')	text/xml	etag:%221e687e-415-5632018e027c0%22	https://www.lamafiabarbearia.com.br/wp-includes/wlwmanifest.xml	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-includes/wlwmanifest.xml	(from https://www.lamafiabarbearia.com.br/)
01:35:07	266921/266921	---M--	200	added ('OK')	application/x-javascript	etag:%22a0e61-412a9-59224e3c938a0%22	https://www.lamafiabarbearia.com.br/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.1.0	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/plugins/revslider/public/assets/js/rs6.min42c6.js	(from https://www.lamafiabarbearia.com.br/)
01:35:11	2176/2176	---MC-	200	added ('OK')	application/json	date:Sat,%2019%20Feb%202022%2004:35:07%20GMT	https://www.lamafiabarbearia.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.lamafiabarbearia.com.br%2F	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-json/oembed/1.0/embed6d72.json	(from https://www.lamafiabarbearia.com.br/)
01:35:12	577374/577374	---MC-	200	added ('OK')	application/json	date:Sat,%2019%20Feb%202022%2004:35:06%20GMT	https://www.lamafiabarbearia.com.br/wp-json/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-json/index.html	(from https://www.lamafiabarbearia.com.br/)
01:35:14	2261/2261	---MC-	200	added ('OK')	text/xml	date:Sat,%2019%20Feb%202022%2004:35:11%20GMT	https://www.lamafiabarbearia.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.lamafiabarbearia.com.br%2F&format=xml	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-json/oembed/1.0/embedb25e	(from https://www.lamafiabarbearia.com.br/)
01:35:15	11747/11747	---M--	200	added ('OK')	application/x-javascript	etag:%221e32cb-2de3-56337b8a93000%22	https://www.lamafiabarbearia.com.br/wp-content/plugins/page-builder-pmc/assets/js/audio-player.js	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/plugins/page-builder-pmc/assets/js/audio-player.js	(from https://www.lamafiabarbearia.com.br/)
01:35:15	11254/11254	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%221e32cf-2bf6-56337b8a93000%22	https://www.lamafiabarbearia.com.br/wp-content/plugins/page-builder-pmc/assets/js/player.swf	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/plugins/page-builder-pmc/assets/js/player.swf	(from https://www.lamafiabarbearia.com.br/)
01:35:17	101516/101516	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2019%20Feb%202022%2004:35:16%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/connect.facebook.net/en_US/fbevents.js	(from https://www.lamafiabarbearia.com.br/)
01:35:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20Feb%202022%2004:35:16%20GMT	http://www.lamafiabarbearia.com.br/?wordfence_lh=1&hid=FC72021EBEB2613BAF351D7BEC71187A	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/index6c85.html	(from https://www.lamafiabarbearia.com.br/)
01:35:20	1962/1962	---M--	200	added ('OK')	image/png	etag:%221e45ca-7aa-5631f89a54900%22	https://www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/images/bolinha-selo.png	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/images/bolinha-selo.png	(from https://www.lamafiabarbearia.com.br/)
